iter	Passed	Remaining
0	156	156764
1	161	80344
2	165	55023
3	169	42305
4	174	34732
5	178	29601
6	182	25923
7	186	23168
8	190	21028
9	194	19284
10	199	17962
11	204	16819
12	208	15804
13	212	14976
14	216	14234
15	221	13594
16	225	13012
17	228	12491
18	233	12038
19	237	11620
20	241	11244
21	245	10915
22	249	10612
23	253	10318
24	257	10052
25	261	9802
26	265	9575
27	269	9361
28	273	9163
29	277	8972
30	281	8810
31	285	8650
32	289	8487
33	293	8342
34	297	8208
35	301	8082
36	305	7961
37	309	7845
38	314	7742
39	318	7636
40	322	7533
41	326	7441
42	330	7349
43	334	7260
44	338	7182
45	342	7104
46	347	7036
47	351	6962
48	355	6897
49	359	6834
50	363	6772
51	368	6716
52	372	6661
53	376	6602
54	381	6551
55	385	6504
56	390	6463
57	394	6408
58	406	6482
59	410	6436
60	415	6392
61	419	6352
62	423	6299
63	426	6234
64	428	6168
65	431	6107
66	433	6037
67	434	5956
68	436	5889
69	438	5822
70	440	5757
71	441	5691
72	443	5631
73	445	5571
74	446	5509
75	448	5448
76	449	5387
77	450	5329
78	452	5272
79	453	5217
80	455	5162
81	456	5109
82	457	5058
83	459	5010
84	460	4956
85	461	4908
86	462	4856
87	464	4809
88	465	4763
89	466	4719
90	468	4676
91	469	4633
92	470	4591
93	472	4551
94	473	4514
95	475	4476
96	476	4437
97	477	4399
98	479	4362
99	480	4326
100	482	4291
101	482	4251
102	484	4217
103	485	4182
104	487	4151
105	488	4120
106	490	4090
107	491	4058
108	492	4027
109	493	3996
110	495	3966
111	496	3936
112	497	3907
113	499	3878
114	500	3850
115	501	3821
116	503	3796
117	504	3773
118	505	3745
119	507	3721
120	508	3697
121	510	3673
122	511	3644
123	512	3621
124	513	3597
125	515	3574
126	516	3552
127	518	3529
128	519	3507
129	520	3485
130	522	3464
131	523	3443
132	524	3422
133	526	3401
134	527	3381
135	529	3362
136	530	3343
137	532	3323
138	533	3305
139	534	3286
140	536	3267
141	537	3249
142	539	3232
143	541	3216
144	542	3199
145	544	3182
146	545	3165
147	547	3149
148	548	3133
149	549	3116
150	551	3099
151	552	3083
152	554	3067
153	555	3051
154	556	3036
155	558	3020
156	559	3006
157	561	2991
158	562	2977
159	564	2962
160	565	2947
161	567	2934
